store_id,store_name,location,demographics
299,"Wise, Medina and Mendez",Fitzpatrickland,lzhky
300,Jones-Hill,Carrieville,lcekf
301,Cervantes LLC,West Amanda,ahpay
302,Atkinson Ltd,Perezborough,dbcyu
303,"Maldonado, Harvey and Rice",Nicolemouth,ryxvn
304,"Rogers, Williams and Brown",Rickhaven,pamfd
305,Harris Inc,Claytonborough,NULL
306,Brown-Mcdaniel,New Hollystad,dvrrv
307,Perry-Cunningham,Port Jennifer,rvdhm
308,"Gomez, Mcgee and Rivera",New Tara,cxqnd
309,Jones-Castillo,Thompsonchester,hmvxu
310,Cardenas-Smith,,
311,"Griffin, Cook and Hess",Andrewsmouth,uehtc
312,Grant-Ramos,Richardmouth,smtwh
313,"Kelly, Walters and Cross",,
314,Meyer-Shea,Port Davidfort,itymg
315,"Hernandez, Martinez and Bright",West Ryanshire,wxxye
316,Williams-Perez,Nathanielfort,jnqhx
317,Liu-Smith,Lisastad,ERROR
318,Sharp Inc,Brownbury,aozjh
319,Gill-Mills,Morrowland,pvybu
320,Simmons LLC,East David,tsxcy
321,"Barrett, Williams and Martinez",Garrisonborough,zrkjx
322,"Brown, Roberts and Phillips",Amyshire,sihet
323,"Mcpherson, Kelley and Chang",West Matthewland,rjsme
324,,Lake Mariofurt,bobpo
325,Pierce Ltd,Sherryfurt,amlut
326,Brooks Inc,Samanthatown,mjudc
327,"Johnson, Barber and Simpson",Karenburgh,thzop
328,Shepard-Thompson,Aaronfort,nsquz
329,Fisher-Chavez,Dawnhaven,cuzzd
330,"Jones, Stevens and Rodriguez",Johnsonchester,vkqih
331,Bennett-Smith,Fowlerside,rmakl
332,Walker-Sims,East James,snose
333,Butler-Donovan,Noahborough,mmpsi
334,,Lake Larryshire,jymtt
335,"Acevedo, Rosales and Lopez",Cunninghambury,utlue
336,Morales-Washington,Donaldberg,gntua
337,Lucas-Marks,Thomasbury,ERROR
338,Wilson-Ramos,Dennisland,mlnyb
339,"Garcia, Williams and Allen",Kellystad,gcjat
340,"Thompson, Campbell and Brown",,hncfr
341,"Taylor, Martin and Kirby",West Bonnieborough,rcsdq
342,"Silva, Ruiz and Jones",Lake Amandabury,dpauk
343,Harris-Valencia,West Kathy,djxxs
344,"Schmidt, Mitchell and Torres",Lorichester,
345,Gilmore Ltd,Connorburgh,pueuf
346,Armstrong LLC,North Alexandraberg,ghbyk
347,Anderson Ltd,Lake Joshuafort,xkrkx
348,Thomas Inc,ERROR,kwean
349,Pace Ltd,Clarkville,fgewl
350,,West Alexanderbury,oqetv
351,Mckinney Ltd,East Kimberlyshire,wxuft
352,Greene-Cuevas,Davidchester,pwfmp
353,"Bauer, Lowe and Mason",Reedberg,NULL
354,Clark Ltd,Gonzalezport,lzfjt
355,Brandt PLC,Coleport,pvxbp
356,Knight-Gutierrez,Huffmanstad,rdukr
357,Alexander-Sanders,Scotthaven,owzkt
358,Branch Inc,Chelseamouth,zvylu
359,Sellers-Coleman,Port Ryanville,lpptq
360,"Barnes, Johnson and Wong",South Staceyshire,xxask
361,Baird-Graham,South Lauren,qeohb
362,Anderson LLC,New Davidchester,kkzsh
363,NULL,Reynoldsmouth,hwuqp
364,"Sullivan, Harvey and Berry",Suzanneland,trmdb
365,Tate-Fox,Mendozafort,utvmi
366,Fox-Holmes,North Hannah,dltup
367,Wilson PLC,New Matthewtown,ijnym
368,"Hicks, Cochran and Keller",Escobarfurt,jphnr
369,Horne and Sons,Masseyborough,maanx
370,Patterson-Camacho,Pittsview,bgbuj
371,Carter Group,New Kayla,ymytm
372,Walker Inc,Lake Allisonberg,tvihk
373,Braun-Nelson,Danielport,iygfx
374,"Lee, Diaz and Robinson",New Jeffery,tnbcu
375,Morales Group,Powersburgh,acamw
376,Adkins PLC,Robertfurt,qonky
377,Simmons-Salazar,East Thomas,ppnkn
378,"Webb, Williams and Johnston",Sarahhaven,kcith
379,ERROR,New Debraville,xejdm
380,Erickson Inc,Port Natasha,ttpuo
381,Green-King,South Roberto,zyxuf
382,"Hall, Quinn and Murphy",NULL,spwqc
383,Parker-Walker,Davishaven,htgge
384,"Osborne, Richards and Allen",NULL,qupue
385,Curtis PLC,Lopezhaven,qlcxa
386,Tran-Miller,Lake Emily,gpsuj
387,Hernandez-Taylor,Bryanfort,gimvj
388,Burton-Atkinson,Bakerton,zxakr
389,Franklin-Gibbs,Justinchester,drqdn
390,Rose LLC,Kennethmouth,ovvmv
391,Smith Group,Strongchester,compa
392,Lewis Group,Mullinston,tqfbe
393,"Reed, Oneal and Morrow",,jdews
394,King Ltd,Lake Douglas,dzaqk
395,Alvarez-Hartman,Lake Emily,uednc
396,Anderson-Curry,Mosesbury,yikyp
397,"Pittman, Alvarado and Fields",South Joseph,mofdk
398,"Clayton, Jackson and Thompson",Port Coryfort,gkxfk
399,Martinez-Ward,South Devinborough,ualfx
400,Todd Group,Port Cheryl,nsfjn
401,Woodard Group,ERROR,zyviz
402,"Lewis, Brown and Savage",Williamstown,fucss
403,Figueroa-Nichols,East Laura,
404,Luna-Vaughn,Lake Todd,qnabj
405,"Mays, Baker and Chandler",Port Jose,
406,Jones LLC,Nunezhaven,ncnsd
407,"Stafford, Morgan and Raymond",Dudleyfurt,amuug
408,"Murphy, Sweeney and Weaver",Lake Andrea,qdbtl
409,"Chung, Jackson and Lam",Beanbury,xhgnn
410,Richardson PLC,Kevinland,rpwin
411,"Allen, Heath and Obrien",New Monique,
412,,Alvarezbury,pxxof
413,Hess Group,Lake Angela,ipwft
414,Green Ltd,New Amandafort,mrwzy
415,Sims-Taylor,East Paul,ocgbm
416,Howard LLC,North Toddfort,drpls
417,Anderson-Henderson,,houvh
418,"Myers, Noble and Robertson",Christopherton,rwkcr
419,Daniels and Sons,Michaelhaven,oihpy
420,"Garcia, Smith and Kim",Jacobside,aslhd
421,Allen and Sons,Brookschester,vjiyf
422,Marquez LLC,South Stephanieborough,bjqrj
423,Knapp-Coleman,NULL,ytzdd
424,Ortega-Sullivan,South Brenda,akglz
425,,Stephanieshire,tuzdv
426,"Drake, Ochoa and Smith",West Jennifer,voqii
427,Arnold Ltd,Martinmouth,dukxl
428,Reyes and Sons,Port Jamie,dwprs
429,"Beltran, Clark and Thomas",Justinborough,rotue
430,Rogers PLC,East Wendystad,ikdlj
431,Richardson LLC,Port Justinland,wgugi
432,Poole Ltd,Fosterchester,
433,Cruz-Beck,Norrismouth,yqubv
434,Soto Ltd,ERROR,vmcah
435,Brown and Sons,Mooreberg,ERROR
436,"Hodge, Martin and Thomas",East Jacobberg,wczwu
437,,North Christopher,spfri
438,Terry LLC,Michellemouth,hqfit
439,Holmes Inc,,dteft
440,Jones-Garcia,Angelaburgh,NULL
441,"Church, Bush and White",New Ryanhaven,mrerm
442,Page-Smith,Port Richardberg,qnygn
443,,East William,xnghl
444,Day PLC,New Robertbury,lcsba
445,Bender-Gray,West Kylie,cvwsm
446,Santana-Morrison,Leeburgh,rdynh
447,Wells-Wells,South Tiffany,iauwy
448,Hall Ltd,Port Christinaborough,adnxn
449,Sullivan Inc,Gregoryshire,audbg
450,"Smith, Martin and Benjamin",Theresaberg,bvfhk
451,Duncan LLC,New Shelbyshire,jirbl
452,Fischer-Richardson,North Joseph,smqge
453,"Phillips, Adams and Berg",New Grace,
454,,Wilsonside,ycrlx
455,Garcia Inc,Laneton,bpthh
456,Barker LLC,West Nancy,iheyr
457,,Port Pamela,wmxgv
458,Franco LLC,Port David,wkuho
459,"Reynolds, Bennett and Edwards",Port Michelle,zqwdj
460,"Conner, Bailey and Morris",Grayview,mzitz
461,Hughes-Carr,East Davidfurt,hutpi
462,Hurst-Mitchell,East Teresashire,dksnn
463,Chavez-Holmes,South James,trdwt
464,"Smith, Fields and Beltran",Rodriguezshire,bprbb
465,"Hernandez, Schmidt and Wood",,gwyxi
466,Delacruz-Price,Edwardmouth,ltiyj
467,Moore-Phillips,Luisshire,ptags
468,"Schmidt, Goodman and Ramos",East Shirley,xegaj
469,Mason Ltd,Kaylamouth,xnhnl
470,"Wright, Rodriguez and Robertson",North April,ybqex
471,Cervantes LLC,South John,stmma
472,Williams-Davis,Nielsenport,fcjbr
473,Williams Ltd,South Nicholashaven,jvego
474,"Lee, Adams and Mayo",Brittanyfurt,rupug
475,"Whitaker, Navarro and Jacobs",New Denise,nthoc
476,,Andersonborough,rrovq
477,"Morrison, Espinoza and Francis",South Samuelport,jfgsw
478,,West Kevinfurt,pbrfm
479,"Craig, Clark and Clay",Smithbury,bitwf
480,"Montgomery, Fox and Martinez",Hannahside,sofum
481,Rice Inc,Lake Amberchester,tvttx
482,Gamble LLC,West Cynthiamouth,cjtzf
483,Snyder PLC,New Ashley,ERROR
484,Roberts LLC,Port Tiffanyfort,ynzqm
485,"Gamble, Kim and Johnson",Barbarastad,ccbyz
486,"Allen, Henry and Williams",Tracymouth,qspub
487,"Mccann, Murphy and Blake",East Jessica,ebngc
488,Powers Inc,North David,
489,Brooks-Long,East Brady,zzsyc
490,"Smith, Lane and Cuevas",Lake Ericfurt,ylslf
491,Martinez-Brennan,South Davidbury,hnxew
492,Jordan-Liu,Brownborough,rmfpk
493,"Graham, Roach and Mitchell",Sandramouth,kycsf
494,Jones-Smith,Marychester,oqpty
495,Pace-Nunez,Port Jeffreyborough,yzxtv
496,Huff-Thomas,Charleston,hubcl
497,Walsh Ltd,,mnksv
498,"Stevens, Turner and Nguyen",Tylerchester,clkxr
499,ERROR,Raystad,nmnem
500,Pearson LLC,West Chadview,
501,Walker and Sons,Christopherbury,nwwxm
502,"Craig, Young and Green",North Carlos,tzctk
503,Taylor-Maxwell,South Jack,qqsra
504,"Gray, Smith and Roberts",Hoganshire,tvyxm
505,Leon Group,East Amanda,
506,"Mercado, Baldwin and Harvey",Christopherport,mfezk
507,"Jackson, Jones and Obrien",Ashleyshire,jlvkh
508,"Foster, Thomas and Jackson",South Christopher,yfhpu
509,"Boyer, Andrews and Robbins",New Andrewstad,lilys
510,NULL,Kelseymouth,sflpo
511,Gomez-Miller,East Tracy,maodd
512,Middleton-Evans,Brendaview,kmwve
513,Franco-Williams,Barbaraborough,nzazj
514,"Ferguson, Ortiz and Harris",East Crystal,aemcs
515,Williamson Ltd,Jenniferville,aemyx
516,Coleman-Stephens,Port Katieborough,rgdit
517,Murphy-Wright,Kevinbury,vmylp
518,Smith-Leonard,New Ashleyfurt,nvjsh
519,"Lewis, Rivers and Roman",South Stacystad,jqjnr
520,Evans-Perez,Holmeshaven,abrix
521,Freeman-Reed,Stephensonshire,rpmrz
522,,West Justin,ajtgf
523,Delacruz-King,Thomasberg,rvihb
524,Martin Group,Leonfort,iwpmu
525,Norris-Greer,Lake Christianborough,omwwx
526,"Medina, Nelson and Holmes",Riverafurt,eungk
527,Mcneil-Clark,Ramirezton,brfad
528,Lambert LLC,Lake Briannabury,kilym
529,Wagner Group,Richardtown,qdhzc
530,,Lake Jonathan,
531,Walker LLC,West Shelleyview,atjuj
532,Morris Ltd,Port Keith,cxdvm
533,ERROR,Port Timothy,loadp
534,ERROR,Brianville,brabn
535,Long Group,ERROR,aynlw
536,Moore Inc,Shelleyberg,sljzr
537,Brewer Group,Justinview,fyjrb
538,"Johnson, Jackson and Young",Waltonfort,kbzyx
539,Ewing-Miller,West Juan,ylkmb
540,Benitez-Mckay,Sarahhaven,ERROR
541,Williams-Stewart,New Sandra,qzipw
542,"Morris, Morris and Villa",North Kayleeton,sebvd
543,Simmons-Williams,Lake Josephside,bxsyo
544,Middleton PLC,Shawfort,zrcqe
545,"Carter, Davis and Porter",Edwardburgh,qrlri
546,Foster-Evans,South Justin,vbrnv
547,"Salazar, Ellison and Olson",Brianstad,uetdf
548,Huerta-Boyd,South Paul,vuiki
549,"Thompson, Cruz and Little",Turnerstad,mmqgp
550,"Salinas, Wilson and Chambers",,xmqkf
551,Armstrong-Jennings,Rochafurt,uamlc
552,Dixon and Sons,Rasmussenbury,oqpvm
553,Elliott Inc,Hunterstad,mlowd
554,,Port Kevinchester,eavcp
555,,Gambleshire,cbime
556,Edwards-Watkins,Rivasborough,iuvmd
557,Hebert and Sons,South Davidfort,bzkol
558,Harris-Turner,South Kennethbury,tqnmv
559,Sanders-Hendricks,Lake Sandra,dcxwu
560,Oneal-Mcconnell,Terryhaven,dwsek
561,"Taylor, Clark and Clark",Cunninghamland,vlsfc
562,Park Group,West Anthonyport,mrcqn
563,"Patrick, Holland and King",Lauraberg,fxwtm
564,Cross-Mclean,Christensenton,jtdvv
565,"Davis, Rodriguez and Perez",Lake Brian,ftjhp
566,Simmons-Smith,North Kelly,qpgak
567,Burch-Donaldson,New Dennis,ydaor
568,Vazquez-Crawford,East Garyport,iezmu
569,"Payne, Bowman and Moss",Mcmahonmouth,zgthv
570,Church Group,South Annettebury,qfwhh
571,Matthews-Vincent,Wendyport,lcoti
572,Buckley-Duffy,Tracyburgh,iooxj
573,Bowen-Nunez,Joelville,tohlm
574,NULL,New Robert,fddny
575,Knight LLC,Princefurt,uakuu
576,Rivera-Mitchell,Susanfort,ijjji
577,Davis Group,Hebertmouth,fntwz
578,"Villanueva, Blevins and Choi",Thomasside,ngagv
579,"Berry, Martin and Tran",West Bradtown,vnyns
580,Gregory-Campbell,South Jared,lkzgi
581,West Inc,Sotobury,clttm
582,Lyons-Owen,NULL,ierqh
583,Saunders-Kline,South Lisaport,lyrgx
584,"Harris, Hancock and Velez",North Rachaelberg,jkwul
585,Hawkins-Obrien,North Jenniferfort,bxcgn
586,Bennett PLC,Thompsonville,oujck
587,"Mercado, Hahn and Jensen",ERROR,ibjxu
588,"Price, Murray and Gonzalez",Victorland,gjkhg
589,"Miller, Walker and Proctor",West Catherineberg,vxnrn
590,Mcdonald-York,North Jennifer,ERROR
591,"Williams, Santana and Small",New Kim,
